mode,addr,size
W,0x00007fff2c889350,8
W,0x00007fff2c889338,8
W,0x00007fff2c889330,8
W,0x00007fff2c88932c,4
W,0x00007fff2c889348,4
W,0x00007fff2c88934c,4
R,0x00007fff2c88934c,4
R,0x00007fff2c88932c,4
R,0x00007fff2c88934c,4
R,0x00007fff2c889338,8
R,0x0000557e553f2260,4
R,0x00007fff2c88934c,4
R,0x00007fff2c889330,8
R,0x0000557e553f2280,4
R,0x00007fff2c889348,4
W,0x00007fff2c889348,4
R,0x00007fff2c88934c,4
W,0x00007fff2c88934c,4
R,0x00007fff2c88934c,4
R,0x00007fff2c88932c,4
R,0x00007fff2c88934c,4
R,0x00007fff2c889338,8
R,0x0000557e553f2264,4
R,0x00007fff2c88934c,4
R,0x00007fff2c889330,8
R,0x0000557e553f2284,4
R,0x00007fff2c889348,4
W,0x00007fff2c889348,4
R,0x00007fff2c88934c,4
W,0x00007fff2c88934c,4
R,0x00007fff2c88934c,4
R,0x00007fff2c88932c,4
R,0x00007fff2c88934c,4
R,0x00007fff2c889338,8
R,0x0000557e553f2268,4
R,0x00007fff2c88934c,4
R,0x00007fff2c889330,8
R,0x0000557e553f2288,4
R,0x00007fff2c889348,4
W,0x00007fff2c889348,4
R,0x00007fff2c88934c,4
W,0x00007fff2c88934c,4
R,0x00007fff2c88934c,4
R,0x00007fff2c88932c,4
R,0x00007fff2c889348,4
R,0x00007fff2c889350,8
R,0x00007fff2c889358,8
